ranking,score,movie_name,score_num
1,9.6,肖申克的救赎,844042
2,9.5,霸王别姬,604496
3,9.4,这个杀手不太冷,809330
4,9.4,阿甘正传,692205
5,9.5,美丽人生,403187
6,9.2,千与千寻,643735
7,9.4,辛德勒的名单,372497
8,9.2,泰坦尼克号,636492
9,9.2,盗梦空间,744312
10,9.3,机器人总动员,488396
11,9.2,海上钢琴师,587540
12,9.1,三傻大闹宝莱坞,656376
13,9.2,忠犬八公的故事,440968
14,9.2,放牛班的春天,440894
15,9.2,大话西游之大圣娶亲,474854
16,9.2,教父,335706
17,9.1,龙猫,408065
18,9.0,楚门的世界,439942
19,9.2,乱世佳人,265473
20,9.1,天堂电影院,303692
21,9.1,触不可及,357602
22,8.9,当幸福来敲门,526746
23,9.0,搏击俱乐部,397455
24,9.2,熔炉,240569
25,9.0,无间道,387247
26,9.4,十二怒汉,166576
27,8.9,怦然心动,528323
28,9.1,指环王3：王者无敌,278959
29,9.0,天空之城,323967
30,9.0,少年派的奇幻漂流,566131
31,8.9,罗马假日,377187
32,9.1,星际穿越,468051
33,9.1,鬼子来了,220863
34,8.9,大话西游之月光宝盒,384835
35,9.0,蝙蝠侠：黑暗骑士,308326
36,9.0,两杆大烟枪,267565
37,9.1,活着,256933
38,8.9,飞屋环游记,486471
39,9.1,窃听风暴,215426
40,9.0,飞越疯人院,271339
41,9.3,海豚湾,178168
42,8.9,闻香识女人,312699
43,8.8,V字仇杀队,401464
44,8.8,哈尔的移动城堡,336509
45,9.1,教父2,180841
46,8.9,美丽心灵,296370
47,8.9,指环王2：双塔奇兵,263269
48,8.9,指环王1：魔戒再现,293891
49,8.9,死亡诗社,267615
50,8.8,情书,362217
51,8.7,天使爱美丽,469036
52,9.1,美国往事,168827
53,9.6,控方证人,79123
54,8.7,七宗罪,423054
55,9.0,钢琴家,196816
56,8.9,狮子王,272089
57,9.1,辩护人,189802
58,9.0,饮食男女,185635
59,8.9,被嫌弃的松子的一生,268544
60,8.8,致命魔术,328242
61,8.8,勇敢的心,288263
62,8.7,剪刀手爱德华,468805
63,9.2,小鞋子,131026
64,8.9,音乐之声,224497
65,8.7,低俗小说,321143
66,8.8,入殓师,310223
67,8.7,本杰明·巴顿奇事,379572
68,8.7,沉默的羔羊,339944
69,8.8,黑客帝国,268805
70,8.7,蝴蝶效应,367351
71,8.8,拯救大兵瑞恩,225937
72,9.1,素媛,164837
73,8.7,西西里的美丽传说,330456
74,8.9,玛丽和马克思,226787
